iter	Passed	Remaining
0	2	896
1	4	638
2	6	598
3	6	510
4	8	499
5	8	437
6	9	386
7	9	354
8	9	322
9	10	299
10	10	277
11	11	279
12	12	267
13	12	257
14	12	243
15	13	232
16	14	240
17	14	232
18	17	255
19	19	274
20	19	264
21	21	272
22	21	263
23	22	254
24	22	246
25	22	239
26	23	233
27	23	228
28	23	221
29	24	216
30	24	211
31	24	206
32	24	201
33	25	196
34	25	192
35	25	188
36	25	184
37	26	180
38	26	177
39	26	173
40	27	171
41	27	167
42	27	164
43	27	162
44	28	159
45	28	158
46	28	155
47	29	155
48	29	153
49	31	156
50	31	154
51	31	152
52	33	155
53	33	154
54	34	154
55	34	152
56	35	150
57	35	148
58	35	146
59	36	144
60	36	143
61	36	140
62	37	139
63	37	138
64	37	136
65	38	135
66	38	133
67	39	134
68	39	132
69	39	130
70	40	129
71	41	131
72	43	134
73	43	133
74	43	131
75	44	130
76	44	129
77	44	127
78	45	126
79	45	125
80	46	126
81	47	127
82	48	125
83	48	124
84	48	123
85	49	122
86	49	121
87	50	120
88	50	119
89	50	118
90	51	117
91	51	116
92	52	116
93	52	114
94	52	113
95	53	112
96	53	111
97	53	110
98	55	112
99	56	112
100	57	113
101	57	112
102	58	111
103	58	110
104	58	109
105	59	108
106	59	107
107	60	107
108	60	106
109	60	104
110	61	103
111	61	102
112	61	101
113	61	100
114	62	99
115	62	99
116	62	98
117	63	97
118	63	96
119	63	95
120	64	94
121	65	95
122	66	95
123	66	94
124	66	93
125	67	92
126	68	92
127	68	92
128	69	92
129	69	91
130	72	94
131	73	93
132	74	93
133	74	92
134	74	91
135	74	90
136	75	89
137	76	89
138	76	88
139	76	87
140	78	88
141	78	87
142	80	87
143	80	86
144	80	86
145	80	85
146	81	84
147	82	84
148	82	83
149	83	83
150	83	82
151	84	81
152	84	81
153	84	80
154	85	79
155	85	78
156	85	78
157	86	77
158	86	76
159	88	77
160	88	76
161	88	75
162	89	74
163	89	74
164	89	73
165	90	72
166	90	71
167	90	71
168	91	70
169	91	69
170	91	69
171	91	68
172	92	67
173	92	67
174	92	66
175	93	65
176	93	64
177	93	64
178	93	63
179	94	62
180	94	62
181	94	61
182	95	61
183	96	60
184	96	59
185	96	59
186	97	58
187	97	58
188	98	57
189	99	57
190	99	56
191	100	56
192	100	55
193	100	55
194	102	55
195	102	54
196	103	54
197	103	53
198	103	52
199	104	52
200	104	51
201	105	50
202	105	50
203	106	49
204	106	49
205	106	48
206	107	48
207	107	47
208	107	46
209	108	46
210	108	45
211	108	45
212	108	44
213	109	43
214	109	43
215	109	42
216	110	42
217	110	41
218	110	40
219	111	40
220	111	39
221	111	39
222	111	38
223	112	38
224	112	37
225	112	36
226	112	36
227	113	35
228	113	35
229	113	34
230	114	34
231	114	33
232	114	32
233	114	32
234	115	31
235	115	31
236	115	30
237	116	30
238	116	29
239	117	29
240	117	28
241	117	28
242	118	27
243	119	27
244	119	26
245	120	26
246	120	25
247	120	25
248	120	24
249	121	24
250	121	23
251	122	23
252	122	22
253	122	22
254	123	21
255	123	21
256	124	20
257	124	20
258	125	19
259	125	19
260	125	18
261	126	18
262	126	17
263	126	17
264	127	16
265	127	16
266	127	15
267	128	15
268	128	14
269	128	14
270	129	13
271	129	13
272	130	12
273	130	12
274	130	11
275	130	11
276	131	10
277	131	10
278	131	9
279	132	9
280	132	8
281	132	8
282	133	8
283	133	7
284	134	7
285	134	6
286	135	6
287	135	5
288	136	5
289	136	4
290	137	4
291	137	3
292	138	3
293	138	2
294	139	2
295	139	1
296	139	1
297	140	0
298	141	0
299	141	0
